date,start,end,n,filenames
"(2002, 8, 20)",18.583333333333332,18.583333333333332,1,['A2002232183500.L2_LAC_OC.nc']
"(2002, 8, 21)",17.666666666666668,17.666666666666668,1,['A2002233174000.L2_LAC_OC.nc']
"(2002, 8, 22)",18.333333333333332,18.333333333333332,1,['A2002234182000.L2_LAC_OC.nc']
"(2002, 8, 23)",17.416666666666668,19.083333333333332,2,"['A2002235190500.L2_LAC_OC.nc', 'A2002235172500.L2_LAC_OC.nc']"
"(2002, 8, 24)",18.166666666666668,18.166666666666668,1,['A2002236181000.L2_LAC_OC.nc']
"(2002, 8, 25)",17.25,18.833333333333332,2,"['A2002237171500.L2_LAC_OC.nc', 'A2002237185000.L2_LAC_OC.nc']"
"(2002, 8, 26)",17.916666666666668,17.916666666666668,1,['A2002238175500.L2_LAC_OC.nc']
"(2002, 8, 27)",18.666666666666668,18.666666666666668,1,['A2002239184000.L2_LAC_OC.nc']
"(2002, 8, 28)",17.75,17.75,1,['A2002240174500.L2_LAC_OC.nc']
"(2002, 8, 29)",18.416666666666668,18.5,2,"['A2002241183000.L2_LAC_OC.nc', 'A2002241182500.L2_LAC_OC.nc']"
"(2002, 8, 30)",17.5,19.166666666666668,3,"['A2002242173500.L2_LAC_OC.nc', 'A2002242173000.L2_LAC_OC.nc', 'A2002242191000.L2_LAC_OC.nc']"
"(2002, 8, 31)",18.25,18.25,1,['A2002243181500.L2_LAC_OC.nc']
"(2002, 9, 1)",17.333333333333332,19.0,2,"['A2002244190000.L2_LAC_OC.nc', 'A2002244172000.L2_LAC_OC.nc']"
"(2002, 9, 2)",18.083333333333332,18.083333333333332,1,['A2002245180500.L2_LAC_OC.nc']
"(2002, 9, 3)",18.75,18.75,1,['A2002246184500.L2_LAC_OC.nc']
"(2002, 9, 4)",17.833333333333332,17.833333333333332,1,['A2002247175000.L2_LAC_OC.nc']
"(2002, 9, 5)",18.583333333333332,18.583333333333332,1,['A2002248183500.L2_LAC_OC.nc']
"(2002, 9, 6)",17.666666666666668,17.666666666666668,1,['A2002249174000.L2_LAC_OC.nc']
"(2002, 9, 7)",18.333333333333332,18.333333333333332,1,['A2002250182000.L2_LAC_OC.nc']
"(2002, 9, 8)",17.416666666666668,19.083333333333332,2,"['A2002251190500.L2_LAC_OC.nc', 'A2002251172500.L2_LAC_OC.nc']"
"(2002, 9, 9)",18.166666666666668,18.166666666666668,1,['A2002252181000.L2_LAC_OC.nc']
"(2002, 9, 10)",17.25,18.833333333333332,2,"['A2002253171500.L2_LAC_OC.nc', 'A2002253185000.L2_LAC_OC.nc']"
"(2002, 9, 11)",17.916666666666668,17.916666666666668,1,['A2002254175500.L2_LAC_OC.nc']
"(2002, 9, 13)",17.75,17.75,1,['A2002256174500.L2_LAC_OC.nc']
"(2002, 9, 14)",18.416666666666668,18.5,2,"['A2002257182500.L2_LAC_OC.nc', 'A2002257183000.L2_LAC_OC.nc']"
"(2002, 9, 15)",17.5,19.166666666666668,3,"['A2002258173000.L2_LAC_OC.nc', 'A2002258191000.L2_LAC_OC.nc', 'A2002258173500.L2_LAC_OC.nc']"
"(2002, 9, 16)",18.25,18.25,1,['A2002259181500.L2_LAC_OC.nc']
"(2002, 9, 17)",17.333333333333332,19.0,2,"['A2002260172000.L2_LAC_OC.nc', 'A2002260190000.L2_LAC_OC.nc']"
"(2002, 9, 18)",18.0,18.083333333333332,2,"['A2002261180000.L2_LAC_OC.nc', 'A2002261180500.L2_LAC_OC.nc']"
"(2002, 9, 19)",18.75,18.75,1,['A2002262184500.L2_LAC_OC.nc']
"(2002, 9, 20)",17.833333333333332,17.833333333333332,1,['A2002263175000.L2_LAC_OC.nc']
"(2002, 9, 21)",18.583333333333332,18.583333333333332,1,['A2002264183500.L2_LAC_OC.nc']
"(2002, 9, 22)",17.666666666666668,17.666666666666668,1,['A2002265174000.L2_LAC_OC.nc']
"(2002, 9, 23)",18.333333333333332,18.333333333333332,1,['A2002266182000.L2_LAC_OC.nc']
"(2002, 9, 24)",17.416666666666668,19.083333333333332,2,"['A2002267190500.L2_LAC_OC.nc', 'A2002267172500.L2_LAC_OC.nc']"
"(2002, 9, 25)",18.166666666666668,18.166666666666668,1,['A2002268181000.L2_LAC_OC.nc']
"(2002, 9, 26)",17.25,18.833333333333332,2,"['A2002269171500.L2_LAC_OC.nc', 'A2002269185000.L2_LAC_OC.nc']"
"(2002, 9, 27)",17.916666666666668,17.916666666666668,1,['A2002270175500.L2_LAC_OC.nc']
"(2002, 9, 28)",18.666666666666668,18.666666666666668,1,['A2002271184000.L2_LAC_OC.nc']
"(2002, 9, 29)",17.75,17.75,1,['A2002272174500.L2_LAC_OC.nc']
"(2002, 9, 30)",18.416666666666668,18.5,2,"['A2002273183000.L2_LAC_OC.nc', 'A2002273182500.L2_LAC_OC.nc']"
"(2002, 10, 1)",17.5,17.583333333333332,2,"['A2002274173500.L2_LAC_OC.nc', 'A2002274173000.L2_LAC_OC.nc']"
"(2002, 10, 2)",18.25,18.25,1,['A2002275181500.L2_LAC_OC.nc']
"(2002, 10, 3)",17.333333333333332,19.0,2,"['A2002276172000.L2_LAC_OC.nc', 'A2002276190000.L2_LAC_OC.nc']"
"(2002, 10, 4)",18.083333333333332,18.083333333333332,1,['A2002277180500.L2_LAC_OC.nc']
"(2002, 10, 5)",17.166666666666668,18.75,2,"['A2002278184500.L2_LAC_OC.nc', 'A2002278171000.L2_LAC_OC.nc']"
"(2002, 10, 6)",17.833333333333332,17.833333333333332,1,['A2002279175000.L2_LAC_OC.nc']
"(2002, 10, 7)",18.583333333333332,18.583333333333332,1,['A2002280183500.L2_LAC_OC.nc']
"(2002, 10, 8)",17.666666666666668,17.666666666666668,1,['A2002281174000.L2_LAC_OC.nc']
"(2002, 10, 9)",18.333333333333332,18.333333333333332,1,['A2002282182000.L2_LAC_OC.nc']
"(2002, 10, 10)",17.416666666666668,19.083333333333332,2,"['A2002283190500.L2_LAC_OC.nc', 'A2002283172500.L2_LAC_OC.nc']"
"(2002, 10, 11)",18.166666666666668,18.166666666666668,1,['A2002284181000.L2_LAC_OC.nc']
"(2002, 10, 12)",17.25,18.833333333333332,2,"['A2002285171500.L2_LAC_OC.nc', 'A2002285185000.L2_LAC_OC.nc']"
"(2002, 10, 13)",17.916666666666668,17.916666666666668,1,['A2002286175500.L2_LAC_OC.nc']
"(2002, 10, 14)",18.666666666666668,18.666666666666668,1,['A2002287184000.L2_LAC_OC.nc']
"(2002, 10, 15)",17.75,17.75,1,['A2002288174500.L2_LAC_OC.nc']
"(2002, 10, 16)",18.416666666666668,18.5,2,"['A2002289183000.L2_LAC_OC.nc', 'A2002289182500.L2_LAC_OC.nc']"
"(2002, 10, 17)",17.5,17.583333333333332,2,"['A2002290173500.L2_LAC_OC.nc', 'A2002290173000.L2_LAC_OC.nc']"
"(2002, 10, 18)",18.25,18.25,1,['A2002291181500.L2_LAC_OC.nc']
"(2002, 10, 19)",17.333333333333332,19.0,2,"['A2002292172000.L2_LAC_OC.nc', 'A2002292190000.L2_LAC_OC.nc']"
"(2002, 10, 20)",18.0,18.083333333333332,2,"['A2002293180000.L2_LAC_OC.nc', 'A2002293180500.L2_LAC_OC.nc']"
"(2002, 10, 21)",17.166666666666668,18.75,2,"['A2002294171000.L2_LAC_OC.nc', 'A2002294184500.L2_LAC_OC.nc']"
"(2002, 10, 22)",17.833333333333332,17.833333333333332,1,['A2002295175000.L2_LAC_OC.nc']
"(2002, 10, 23)",18.583333333333332,18.583333333333332,1,['A2002296183500.L2_LAC_OC.nc']
"(2002, 10, 24)",17.666666666666668,17.666666666666668,1,['A2002297174000.L2_LAC_OC.nc']
"(2002, 10, 25)",18.333333333333332,18.333333333333332,1,['A2002298182000.L2_LAC_OC.nc']
"(2002, 10, 26)",17.416666666666668,19.083333333333332,2,"['A2002299172500.L2_LAC_OC.nc', 'A2002299190500.L2_LAC_OC.nc']"
"(2002, 10, 27)",18.166666666666668,18.166666666666668,1,['A2002300181000.L2_LAC_OC.nc']
"(2002, 10, 28)",17.25,18.833333333333332,2,"['A2002301185000.L2_LAC_OC.nc', 'A2002301171500.L2_LAC_OC.nc']"
"(2002, 10, 29)",17.916666666666668,17.916666666666668,1,['A2002302175500.L2_LAC_OC.nc']
"(2002, 10, 30)",18.666666666666668,18.666666666666668,1,['A2002303184000.L2_LAC_OC.nc']
"(2002, 10, 31)",17.75,17.75,1,['A2002304174500.L2_LAC_OC.nc']
"(2002, 11, 1)",18.416666666666668,18.5,2,"['A2002305182500.L2_LAC_OC.nc', 'A2002305183000.L2_LAC_OC.nc']"
"(2002, 11, 2)",17.5,17.583333333333332,2,"['A2002306173000.L2_LAC_OC.nc', 'A2002306173500.L2_LAC_OC.nc']"
"(2002, 11, 3)",18.25,18.25,1,['A2002307181500.L2_LAC_OC.nc']
"(2002, 11, 4)",17.333333333333332,19.0,3,"['A2002308185500.L2_LAC_OC.nc', 'A2002308172000.L2_LAC_OC.nc', 'A2002308190000.L2_LAC_OC.nc']"
"(2002, 11, 5)",18.0,18.083333333333332,2,"['A2002309180000.L2_LAC_OC.nc', 'A2002309180500.L2_LAC_OC.nc']"
"(2002, 11, 6)",18.75,18.75,1,['A2002310184500.L2_LAC_OC.nc']
"(2002, 11, 7)",17.833333333333332,17.833333333333332,1,['A2002311175000.L2_LAC_OC.nc']
"(2002, 11, 8)",18.583333333333332,18.583333333333332,1,['A2002312183500.L2_LAC_OC.nc']
"(2002, 11, 9)",17.583333333333332,17.666666666666668,2,"['A2002313174000.L2_LAC_OC.nc', 'A2002313173500.L2_LAC_OC.nc']"
"(2002, 11, 10)",18.333333333333332,18.333333333333332,1,['A2002314182000.L2_LAC_OC.nc']
"(2002, 11, 11)",17.416666666666668,19.083333333333332,2,"['A2002315172500.L2_LAC_OC.nc', 'A2002315190500.L2_LAC_OC.nc']"
"(2002, 11, 12)",18.166666666666668,18.166666666666668,1,['A2002316181000.L2_LAC_OC.nc']
"(2002, 11, 13)",17.25,18.833333333333332,2,"['A2002317185000.L2_LAC_OC.nc', 'A2002317171500.L2_LAC_OC.nc']"
"(2002, 11, 14)",17.916666666666668,17.916666666666668,1,['A2002318175500.L2_LAC_OC.nc']
"(2002, 11, 15)",18.666666666666668,18.666666666666668,1,['A2002319184000.L2_LAC_OC.nc']
"(2002, 11, 16)",17.75,17.75,1,['A2002320174500.L2_LAC_OC.nc']
"(2002, 11, 17)",18.416666666666668,18.416666666666668,1,['A2002321182500.L2_LAC_OC.nc']
"(2002, 11, 18)",17.5,17.5,1,['A2002322173000.L2_LAC_OC.nc']
"(2002, 11, 19)",18.25,18.25,1,['A2002323181500.L2_LAC_OC.nc']
"(2002, 11, 20)",17.333333333333332,19.0,3,"['A2002324185500.L2_LAC_OC.nc', 'A2002324190000.L2_LAC_OC.nc', 'A2002324172000.L2_LAC_OC.nc']"
"(2002, 11, 21)",18.0,18.083333333333332,2,"['A2002325180000.L2_LAC_OC.nc', 'A2002325180500.L2_LAC_OC.nc']"
"(2002, 11, 22)",17.166666666666668,18.75,2,"['A2002326171000.L2_LAC_OC.nc', 'A2002326184500.L2_LAC_OC.nc']"
"(2002, 11, 23)",17.833333333333332,17.833333333333332,1,['A2002327175000.L2_LAC_OC.nc']
"(2002, 11, 24)",18.583333333333332,18.583333333333332,1,['A2002328183500.L2_LAC_OC.nc']
"(2002, 11, 25)",17.666666666666668,17.666666666666668,1,['A2002329174000.L2_LAC_OC.nc']
"(2002, 11, 26)",18.333333333333332,18.333333333333332,1,['A2002330182000.L2_LAC_OC.nc']
"(2002, 11, 27)",17.416666666666668,19.083333333333332,2,"['A2002331172500.L2_LAC_OC.nc', 'A2002331190500.L2_LAC_OC.nc']"
"(2002, 11, 28)",18.166666666666668,18.166666666666668,1,['A2002332181000.L2_LAC_OC.nc']
"(2002, 11, 29)",17.25,18.833333333333332,2,"['A2002333185000.L2_LAC_OC.nc', 'A2002333171500.L2_LAC_OC.nc']"
"(2002, 11, 30)",17.916666666666668,17.916666666666668,1,['A2002334175500.L2_LAC_OC.nc']
"(2002, 12, 1)",18.666666666666668,18.666666666666668,1,['A2002335184000.L2_LAC_OC.nc']
"(2002, 12, 2)",17.75,17.75,1,['A2002336174500.L2_LAC_OC.nc']
"(2002, 12, 3)",18.416666666666668,18.416666666666668,1,['A2002337182500.L2_LAC_OC.nc']
"(2002, 12, 4)",17.5,17.5,1,['A2002338173000.L2_LAC_OC.nc']
"(2002, 12, 5)",18.25,18.25,1,['A2002339181500.L2_LAC_OC.nc']
"(2002, 12, 6)",17.333333333333332,19.0,3,"['A2002340185500.L2_LAC_OC.nc', 'A2002340172000.L2_LAC_OC.nc', 'A2002340190000.L2_LAC_OC.nc']"
"(2002, 12, 7)",18.0,18.083333333333332,2,"['A2002341180000.L2_LAC_OC.nc', 'A2002341180500.L2_LAC_OC.nc']"
"(2002, 12, 8)",17.166666666666668,18.75,2,"['A2002342171000.L2_LAC_OC.nc', 'A2002342184500.L2_LAC_OC.nc']"
"(2002, 12, 9)",17.833333333333332,17.833333333333332,1,['A2002343175000.L2_LAC_OC.nc']
"(2002, 12, 10)",18.5,18.583333333333332,2,"['A2002344183500.L2_LAC_OC.nc', 'A2002344183000.L2_LAC_OC.nc']"
"(2002, 12, 11)",17.583333333333332,17.666666666666668,2,"['A2002345174000.L2_LAC_OC.nc', 'A2002345173500.L2_LAC_OC.nc']"
"(2002, 12, 12)",18.333333333333332,18.333333333333332,1,['A2002346182000.L2_LAC_OC.nc']
"(2002, 12, 13)",17.416666666666668,19.083333333333332,2,"['A2002347172500.L2_LAC_OC.nc', 'A2002347190500.L2_LAC_OC.nc']"
"(2002, 12, 14)",18.166666666666668,18.166666666666668,1,['A2002348181000.L2_LAC_OC.nc']
"(2002, 12, 15)",17.25,18.833333333333332,2,"['A2002349185000.L2_LAC_OC.nc', 'A2002349171500.L2_LAC_OC.nc']"
"(2002, 12, 16)",17.916666666666668,17.916666666666668,1,['A2002350175500.L2_LAC_OC.nc']
"(2002, 12, 17)",18.666666666666668,18.666666666666668,1,['A2002351184000.L2_LAC_OC.nc']
"(2002, 12, 18)",17.75,17.75,1,['A2002352174500.L2_LAC_OC.nc']
"(2002, 12, 19)",18.416666666666668,18.416666666666668,1,['A2002353182500.L2_LAC_OC.nc']
"(2002, 12, 20)",17.5,17.5,1,['A2002354173000.L2_LAC_OC.nc']
"(2002, 12, 21)",18.25,18.25,1,['A2002355181500.L2_LAC_OC.nc']
"(2002, 12, 22)",17.333333333333332,19.0,3,"['A2002356185500.L2_LAC_OC.nc', 'A2002356172000.L2_LAC_OC.nc', 'A2002356190000.L2_LAC_OC.nc']"
"(2002, 12, 23)",18.0,18.083333333333332,2,"['A2002357180000.L2_LAC_OC.nc', 'A2002357180500.L2_LAC_OC.nc']"
"(2002, 12, 24)",17.166666666666668,18.75,2,"['A2002358171000.L2_LAC_OC.nc', 'A2002358184500.L2_LAC_OC.nc']"
"(2002, 12, 25)",17.833333333333332,17.833333333333332,1,['A2002359175000.L2_LAC_OC.nc']
"(2002, 12, 26)",18.5,18.583333333333332,2,"['A2002360183500.L2_LAC_OC.nc', 'A2002360183000.L2_LAC_OC.nc']"
"(2002, 12, 27)",17.583333333333332,17.666666666666668,2,"['A2002361174000.L2_LAC_OC.nc', 'A2002361173500.L2_LAC_OC.nc']"
"(2002, 12, 28)",18.333333333333332,18.333333333333332,1,['A2002362182000.L2_LAC_OC.nc']
"(2002, 12, 29)",17.416666666666668,19.083333333333332,2,"['A2002363172500.L2_LAC_OC.nc', 'A2002363190500.L2_LAC_OC.nc']"
"(2002, 12, 30)",18.166666666666668,18.166666666666668,1,['A2002364181000.L2_LAC_OC.nc']
"(2002, 12, 31)",17.25,18.833333333333332,2,"['A2002365185000.L2_LAC_OC.nc', 'A2002365171500.L2_LAC_OC.nc']"
"(2003, 1, 1)",17.916666666666668,17.916666666666668,1,['A2003001175500.L2_LAC_OC.nc']
"(2003, 1, 2)",18.666666666666668,18.666666666666668,1,['A2003002184000.L2_LAC_OC.nc']
"(2003, 1, 3)",17.75,17.75,1,['A2003003174500.L2_LAC_OC.nc']
"(2003, 1, 4)",18.416666666666668,18.416666666666668,1,['A2003004182500.L2_LAC_OC.nc']
"(2003, 1, 5)",17.5,17.5,1,['A2003005173000.L2_LAC_OC.nc']
"(2003, 1, 6)",18.25,18.25,1,['A2003006181500.L2_LAC_OC.nc']
"(2003, 1, 7)",17.333333333333332,19.0,3,"['A2003007185500.L2_LAC_OC.nc', 'A2003007172000.L2_LAC_OC.nc', 'A2003007190000.L2_LAC_OC.nc']"
"(2003, 1, 8)",18.0,18.0,1,['A2003008180000.L2_LAC_OC.nc']
"(2003, 1, 9)",17.083333333333332,18.75,2,"['A2003009184500.L2_LAC_OC.nc', 'A2003009170500.L2_LAC_OC.nc']"
"(2003, 1, 10)",17.833333333333332,17.833333333333332,1,['A2003010175000.L2_LAC_OC.nc']
"(2003, 1, 11)",18.5,18.583333333333332,2,"['A2003011183000.L2_LAC_OC.nc', 'A2003011183500.L2_LAC_OC.nc']"
"(2003, 1, 12)",17.583333333333332,17.666666666666668,2,"['A2003012173500.L2_LAC_OC.nc', 'A2003012174000.L2_LAC_OC.nc']"
"(2003, 1, 13)",18.333333333333332,18.333333333333332,1,['A2003013182000.L2_LAC_OC.nc']
"(2003, 1, 14)",17.416666666666668,19.083333333333332,2,"['A2003014190500.L2_LAC_OC.nc', 'A2003014172500.L2_LAC_OC.nc']"
"(2003, 1, 15)",18.166666666666668,18.166666666666668,1,['A2003015181000.L2_LAC_OC.nc']
"(2003, 1, 16)",17.25,18.833333333333332,2,"['A2003016171500.L2_LAC_OC.nc', 'A2003016185000.L2_LAC_OC.nc']"
"(2003, 1, 17)",17.916666666666668,17.916666666666668,1,['A2003017175500.L2_LAC_OC.nc']
"(2003, 1, 18)",18.666666666666668,18.666666666666668,1,['A2003018184000.L2_LAC_OC.nc']
"(2003, 1, 19)",17.75,17.75,1,['A2003019174500.L2_LAC_OC.nc']
"(2003, 1, 20)",18.416666666666668,18.416666666666668,1,['A2003020182500.L2_LAC_OC.nc']
"(2003, 1, 21)",17.5,17.5,1,['A2003021173000.L2_LAC_OC.nc']
"(2003, 1, 22)",18.25,18.25,1,['A2003022181500.L2_LAC_OC.nc']
"(2003, 1, 23)",17.333333333333332,19.0,3,"['A2003023190000.L2_LAC_OC.nc', 'A2003023172000.L2_LAC_OC.nc', 'A2003023185500.L2_LAC_OC.nc']"
"(2003, 1, 24)",18.0,18.0,1,['A2003024180000.L2_LAC_OC.nc']
"(2003, 1, 25)",17.083333333333332,18.75,2,"['A2003025170500.L2_LAC_OC.nc', 'A2003025184500.L2_LAC_OC.nc']"
"(2003, 1, 26)",17.833333333333332,17.833333333333332,1,['A2003026175000.L2_LAC_OC.nc']
"(2003, 1, 27)",18.5,18.583333333333332,2,"['A2003027183500.L2_LAC_OC.nc', 'A2003027183000.L2_LAC_OC.nc']"
"(2003, 1, 28)",17.583333333333332,17.666666666666668,2,"['A2003028174000.L2_LAC_OC.nc', 'A2003028173500.L2_LAC_OC.nc']"
"(2003, 1, 29)",18.333333333333332,18.333333333333332,1,['A2003029182000.L2_LAC_OC.nc']
"(2003, 1, 30)",17.416666666666668,19.083333333333332,2,"['A2003030172500.L2_LAC_OC.nc', 'A2003030190500.L2_LAC_OC.nc']"
"(2003, 1, 31)",18.166666666666668,18.166666666666668,1,['A2003031181000.L2_LAC_OC.nc']
"(2003, 2, 1)",17.25,18.833333333333332,2,"['A2003032185000.L2_LAC_OC.nc', 'A2003032171500.L2_LAC_OC.nc']"
"(2003, 2, 2)",17.916666666666668,17.916666666666668,1,['A2003033175500.L2_LAC_OC.nc']
"(2003, 2, 3)",18.666666666666668,18.666666666666668,1,['A2003034184000.L2_LAC_OC.nc']
"(2003, 2, 4)",17.75,17.75,1,['A2003035174500.L2_LAC_OC.nc']
"(2003, 2, 5)",18.416666666666668,18.416666666666668,1,['A2003036182500.L2_LAC_OC.nc']
"(2003, 2, 6)",17.5,17.5,1,['A2003037173000.L2_LAC_OC.nc']
"(2003, 2, 7)",18.25,18.25,1,['A2003038181500.L2_LAC_OC.nc']
"(2003, 2, 8)",17.333333333333332,19.0,3,"['A2003039185500.L2_LAC_OC.nc', 'A2003039190000.L2_LAC_OC.nc', 'A2003039172000.L2_LAC_OC.nc']"
"(2003, 2, 9)",18.0,18.0,1,['A2003040180000.L2_LAC_OC.nc']
"(2003, 2, 10)",17.166666666666668,18.75,2,"['A2003041184500.L2_LAC_OC.nc', 'A2003041171000.L2_LAC_OC.nc']"
"(2003, 2, 11)",17.833333333333332,17.833333333333332,1,['A2003042175000.L2_LAC_OC.nc']
"(2003, 2, 12)",18.5,18.583333333333332,2,"['A2003043183000.L2_LAC_OC.nc', 'A2003043183500.L2_LAC_OC.nc']"
"(2003, 2, 13)",17.583333333333332,17.666666666666668,2,"['A2003044173500.L2_LAC_OC.nc', 'A2003044174000.L2_LAC_OC.nc']"
"(2003, 2, 14)",18.333333333333332,18.333333333333332,1,['A2003045182000.L2_LAC_OC.nc']
"(2003, 2, 15)",17.416666666666668,19.083333333333332,2,"['A2003046190500.L2_LAC_OC.nc', 'A2003046172500.L2_LAC_OC.nc']"
"(2003, 2, 16)",18.166666666666668,18.166666666666668,1,['A2003047181000.L2_LAC_OC.nc']
"(2003, 2, 17)",17.25,18.833333333333332,2,"['A2003048171500.L2_LAC_OC.nc', 'A2003048185000.L2_LAC_OC.nc']"
"(2003, 2, 18)",17.916666666666668,17.916666666666668,1,['A2003049175500.L2_LAC_OC.nc']
"(2003, 2, 19)",18.666666666666668,18.666666666666668,1,['A2003050184000.L2_LAC_OC.nc']
"(2003, 2, 20)",17.75,17.75,1,['A2003051174500.L2_LAC_OC.nc']
"(2003, 2, 21)",18.416666666666668,18.416666666666668,1,['A2003052182500.L2_LAC_OC.nc']
"(2003, 2, 22)",17.5,17.5,1,['A2003053173000.L2_LAC_OC.nc']
"(2003, 2, 23)",18.25,18.25,1,['A2003054181500.L2_LAC_OC.nc']
"(2003, 2, 24)",17.333333333333332,19.0,3,"['A2003055172000.L2_LAC_OC.nc', 'A2003055190000.L2_LAC_OC.nc', 'A2003055185500.L2_LAC_OC.nc']"
"(2003, 2, 25)",18.0,18.0,1,['A2003056180000.L2_LAC_OC.nc']
"(2003, 2, 26)",17.166666666666668,18.75,2,"['A2003057171000.L2_LAC_OC.nc', 'A2003057184500.L2_LAC_OC.nc']"
"(2003, 2, 27)",17.833333333333332,17.833333333333332,1,['A2003058175000.L2_LAC_OC.nc']
"(2003, 2, 28)",18.5,18.583333333333332,2,"['A2003059183500.L2_LAC_OC.nc', 'A2003059183000.L2_LAC_OC.nc']"
"(2003, 3, 1)",17.583333333333332,17.666666666666668,2,"['A2003060174000.L2_LAC_OC.nc', 'A2003060173500.L2_LAC_OC.nc']"
"(2003, 3, 2)",18.333333333333332,18.333333333333332,1,['A2003061182000.L2_LAC_OC.nc']
"(2003, 3, 3)",17.416666666666668,19.083333333333332,2,"['A2003062172500.L2_LAC_OC.nc', 'A2003062190500.L2_LAC_OC.nc']"
"(2003, 3, 4)",18.166666666666668,18.166666666666668,1,['A2003063181000.L2_LAC_OC.nc']
